date,code,usdprice
2012-06-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.42
2012-07-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.44
2012-08-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.47
2012-09-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.45
2012-10-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.46
2012-11-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.44
2012-12-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.49
2013-01-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.51
2013-02-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.52
2013-03-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.52
2013-04-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.48
2013-05-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.47
2013-06-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.45
2013-07-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.43
2013-08-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.42
2013-09-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.41
2013-10-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.43
2013-11-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.44
2013-12-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.47
2014-01-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.45
2014-02-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.44
2014-03-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.44
2014-04-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.43
2014-05-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.44
2014-06-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.43
2014-07-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.4
2014-08-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.41
2014-09-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.44
2014-10-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.44
2014-11-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.44
2014-12-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.43
2015-01-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.44
2015-02-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.44
2015-03-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.43
2015-04-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.43
2015-05-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.43
2015-06-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.44
2015-07-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.44
2015-08-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.44
2015-09-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.44
2015-10-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.45
2015-11-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.44
2015-12-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.43
2016-01-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.47
2016-02-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.49
2016-03-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.49
2016-04-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.48
2016-05-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.48
2016-06-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.48
2016-07-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.49
2016-08-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.49
2016-09-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.49
2016-10-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.49
2016-11-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.5
2016-12-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.49
2017-01-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.46
2017-02-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.48
2017-03-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.47
2017-04-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.47
2017-05-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.47
2017-06-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.46
2017-07-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.47
2017-08-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.47
2017-09-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.47
